No.,brand_name,reviewer,rating,date,content
2-1,十四代,wajoryoshu,4.7,2024年7月10日,十四代* 吟撰 吟醸酒生詰 山田錦50%  今年も吟撰を首尾よく入手
2-2,十四代,wajoryoshu,4.7,2024年7月10日,やはり格別に旨い
12-1,十四代,モコモコ,4.7,2024年6月22日,久々に十四代  吟撰は人気ないと聞いてるが  開けたては美味しいですね
12-2,十四代,モコモコ,4.7,2024年6月22日,純米無濾過生よりは好きな味
12-3,十四代,モコモコ,4.7,2024年6月22日,美味しいですね
13-1,十四代,コッス,4.9,2024年6月20日,酸味、甘味、ほんとにバランスが良く、今年飲んだ日本酒の中でNo. 1だと思う
13-2,十四代,コッス,4.9,2024年6月20日,甘みがあるのに香りが上品  フレッシュなシュワ感も嫌な感じではなくほんとに美味しい
17,十四代,aki,5,2024年6月14日,みんなが美味しいというお酒だけありますね、甘いだけじゃなくて、なんかほんのり重い感じの、ひと口残る感じの甘さ
19,十四代,takanobu,5,2024年6月13日,いったい店で飲んだら幾らするんだろう
31,十四代,植田 浩嗣,3.8,2024年5月21日,日本酒好きならやっぱり手に入れたい銘柄ですよね  一年に一度くらいですが、正規特約店にて手に入るタイミングがあると手を出してしまいます😅   こちらの十四代は荒走りということで少し荒々しさ感じます  華やかな香りと深い甘味、いつもより強めの酸味を感じました  甘口ですがすいすい飲めるバランスの良さを感じます   とても美味しいお酒ではありますがいつも買えるお酒でもこういうのあるよなぁと思ってしまいます  プレミア価格で非正規品を買うのはやめた方が良いです   傷むと良さが損なわれそうな感じのお酒ですので
33,十四代,succhii,4.4,2024年5月18日,「寒菊と同系統、だがコスパはどうか」という問題提起がされた
42,十四代,HM,4,2024年5月6日,一升一万円超えでこの味わいだといくら十四代でもちょっとコスパ悪いですかね
45,十四代,wajoryoshu,4.7,2024年5月4日,十四代* 荒走り 上諸白（純米大吟醸） 本生・原酒 山田錦45%  唯一外呑みでも投稿してしている入手困難酒筆頭銘柄だが、飲食店でも未経験の荒走り・上諸白を初入手
46,十四代,田川の鯉,4.5,2024年5月3日,いつ飲んでも旨い
53,十四代,hayaty,4.5,2024年4月24日,もう買えないかもなので最初の投稿は前に飲んだ十四代にした
54,十四代,日本酒太郎右衛門景義,4,2024年4月22日,柔らかい甘味、米のふくよかさ、ドライ感の変化から微発泡感、余韻の苦味に至るまで口の中での変化過程は面白いですが、定価と入手難易度を考えると星一つ落とさざるをえませんでした
57,十四代,モコモコ,4.3,2024年4月21日,それでも普通に美味しいのは流石
61-1,十四代,btetsu,4.8,2024年4月12日,美味しいけど元はどんなだったか
61-2,十四代,btetsu,4.8,2024年4月12日,ここ数年はいろんな日本酒のんで、十四代じゃなくても美味しい酒はいくらでもあると気づかされた
68,十四代,くにひろ,5,2024年3月31日,十四代 超特　はじめまして(*´-ω-))ﾍﾟｺﾘ  やっぱりこのクラスになると凄いな  今回も美味しいお酒ご馳走様(*˘︶˘人)でしたッ♡  【音波 千葉富士見店】
70,十四代,ともがゆく,4.7,2024年3月29日,十四代 中取り無濾過  聖地行く途中の蕎麦屋にて  怒涛の繁忙期が落ち着き  3連休です、久しぶりに  聖地で買い物したいな〜と  大雨の中行ってきました  やっぱりお昼はここですね  軽やかな口当たりかつ  ほのかな甘さがとても美味しい   ハム競馬は夜に書きます
75,十四代,ふふ,5,2024年3月22日,本丸の1000倍美味しいことは  わかりました
79,十四代,BATA77,5,2024年3月19日,甘旨で、最高に美味しいですね😋  家でゆったり飲みたいです
86,十四代,わふ,4.2,2024年3月13日,角新でも純米でもない本丸  ビール１ℓの後で飲んだからか今回は苦味が少〜ししんどかった  普段ポン酒を飲まない方々にはフルーティで衝撃の美味さやったみたいで良かったぜ😎   3/7京橋の大衆居酒屋で  コレ投稿するの渋ってた
95,十四代,ふふ,4.7,2024年3月4日,十四代特別本醸造角新本丸秘伝玉返し  純米品質の角新本丸  フルーティーさはあるがやはり以前の  十四代はアルコール感かんじさせない  飲みやすいものだがこの角新は  やはりビリッと辛み感じる後味
103,十四代,mugen-justice2,5,2024年2月24日,十四代　播州山田錦　大極上生  年末年始ラッキーなことに買えました  濃厚だけど、あと味ひかず、雑味はなし  たぶんこの雑味のなしが高評価なんだろうなぁと思う
106,十四代,KIMI,4.4,2024年2月17日,若僧に飲ます酒じゃねぇ的な  まぁ３０ねんも前だからねぇ   美味しい～(>_   １４代と１６代の飲み比べ～  飲み比べ最高～
114,十四代,art,4,2024年2月10日,やっぱり十四代は美味しい
119-1,十四代,ふふ,4.7,2024年2月1日,十四代七垂二十貫  十四代にしてはかなりしつこい甘さ  終いのアルコール感ない感じが  好きだがこれはしっかりアルコール感じてしまった
119-2,十四代,ふふ,4.7,2024年2月1日,美味しいとは思うけど………………
133,十四代,仙臺四合,4.6,2024年1月13日,播州愛山中取り純米吟醸生詰♬  HAPPY十四代➕●αなので♬  甘旨香カドゼロ濃厚甘旨旨いつまでも続く旨♬  うまいなぁ♬  6日後　華やかな香り甘旨上品な甘余韻
138,十四代,wajoryoshu,5,2024年1月11日,比較的入手できる十四代四合瓶「無濾過中取り純米55%生詰め」の上位酒生酒だが、正直十四代自体の造りが綺麗なので良い意味で中取りの意味があまりないように感じる
141,十四代,田川の鯉,4.8,2024年1月10日,1週間ほどかけて飲んだけど全くダレなかった
142,十四代,str,4.5,2024年1月9日,昔の値段なら滅茶苦茶コスパ最強だったのにな～
143,十四代,ろーちゃな,5,2024年1月9日,なんだかんだで本丸が一番美味しいという声を  よく耳にしますが、この清らかでジューシーな  青林檎感はどう受け取られるのでしょう🤔  あ、でも純米は角新だけですかね⁇
144-1,十四代,range,4.7,2024年1月8日,店頭に並んでいる2本とも買っていいとのことで興奮気味に2本手に取ってお会計したら300ml瓶で一般的な四合瓶の純米大吟醸くらいの価格で再びえっ
144-2,十四代,range,4.7,2024年1月8日,ただ相場を調べるとそれが定価で転売品とかは今日買った価格の4倍とかそれ以上の値段がついていました
144-3,十四代,range,4.7,2024年1月8日,十四代は居酒屋で飲んで以来生涯2回目で前回は色々飲んだ後の注文だったのと一緒に飲んだ朝日鷹のインパクトが強すぎてあまり印象に残らなかったのですが、今回素面の状態で飲むと今まで飲んだことのないような口当たりに驚かされます
146,十四代,wajoryoshu,5,2024年1月8日,十四代*** 純米大吟醸 龍月 兵庫県特A地区産山田錦35％ 揚げふね/七垂二十貫 斗瓶囲い氷温貯蔵大極上諸白酒  （さすがに年明け初投稿以降の度重なる不幸に憚られ投稿を控えておりましたが、そろそろ再開させていただきます）  十四代最高峰クラスの一角「龍月」を正月に合わせ入手に成功
147-1,十四代,たけ,4.5,2024年1月8日,もちろん美味しいのですが、  而今の大吟醸があまりにも美味過ぎて、  こちらはそこまで
147-2,十四代,たけ,4.5,2024年1月8日,時々、頂く十四代ですが、もはやスペックごとの  差がなさ過ぎてよくわからん😩  もちろん、どのスペックも美味しいけど、  最後は本丸に戻るのも納得です😌
148,十四代,kazu,5,2024年1月7日,大変美味しいお酒でした
149-1,十四代,mugen-justice2,4.5,2024年1月5日,十四代　龍の落とし子　大極上生  ラッキーなことに買えました  吟選しか飲んだことがないので、あまり比較になりませんが、アルコール感、変な雑味はほぼなく非常にすっきり
149-2,十四代,mugen-justice2,4.5,2024年1月5日,ちょつとだけマスカット感  突き詰めていくこんな感じなってくんだろうなぁと思いつつも、十四代の上と下しか飲んだことないので次は真ん中をのみたい
155,十四代,Cutie Dog,4.8,2024年1月3日,備忘録(2024年1月(7月購入))　十四代　中取り純米　厳選　無濾過生詰   【評価】  　冷酒　　　：4.8  　ひや(常温)：－  　燗　　　　：－   2024年の1本目は、辰年ということで『龍』のマークがある十四代☺️購入から5ヶ月ほど寝かせてしまったが、やはり『うんまいっ』🥰純米だけに香りはそんなに強くなく甘みが少し強めだが、アルコール感を感じられずスイスイ飲める😋   原材料：米(国産)　米麹(国産米)  原料米：国産米(100%)  精米歩合：55%  アルコール分：15度  酵母：蔵付10号
169,十四代,たぬきち,5,2024年1月1日,十四代　龍の落とし子　純米吟醸   2023.12＠宅   さっぱり目な甘旨、品もキレも香りもよく、  とても美味しい
176-1,十四代,縦の皮,3.9,2023年12月31日,今日飲むのは、お盆に買った極上諸白
176-2,十四代,縦の皮,3.9,2023年12月31日,買うのに苦労して、しかも高額なお酒ということを考慮すると…厳しい評価にせざるを得ないです
